1	7100 
2	3900 
3	5300 
4	9900 
5	4700 
6	6000 
7	5900 
8	11700 
9	20700 
10	16400 
11	4100 
12	4400 
13	4600 
14	33200 
15	5100 
16	4600 
17	5400 
18	37700 
19	4300 
20	4500 
21	4200 
22	3900 
23	4200 
24	4300 
25	3800 
26	4000 
27	4200 
28	4000 
29	4400 
30	4100 
31	36500 
32	5300 
33	6400 
34	13000 
35	7900 
36	7200 
37	7200 
38	43100 
39	34000 
40	11800 
41	6500 
42	4700 
43	6000 
44	5800 
45	5800 
46	5400 
47	5900 
48	37000 
49	6400 
50	4300 
